jenis,nama_lama,nama_baru
TABLE,TKACC_GR_ACCOUNTSES,SKACC_GR_ACCOUNTSES
TABLE,TKACC_TEMACCOUNTES,SKACC_TEMACCOUNTES
TABLE,TKACC_TEMLABARUGINERACADTLS,SKACC_TEMLABARUGINERACADTLS
TABLE,TKACC_TEMLABARUGINERACAHDRS,SKACC_TEMLABARUGINERACAHDRS
TABLE,TKACC_TUCICOS,SKACC_TUCICOS
TABLE,TKMST_CATEGORIES,SKMST_CATEGORIES
TABLE,TKMST_CUSTOMERS,SKMST_CUSTOMERS
TABLE,TKMST_EX_IMS,SKMST_EX_IMS
TABLE,TKMST_KASIRS,SKMST_KASIRS
TABLE,TKMST_KOTAS,SKMST_KOTAS
TABLE,TKMST_PRODUCTPAKETS,SKMST_PRODUCTPAKETS
TABLE,TKMST_PRODUCTS,SKMST_PRODUCTS
TABLE,TKMST_PROVS,SKMST_PROVS
TABLE,TKMST_SUPPLIERS,SKMST_SUPPLIERS
TABLE,TKMST_UOMS,SKMST_UOMS
TABLE,TKTXN_CASHINDTLS,SKTXN_CASHINDTLS
TABLE,TKTXN_CASHINHDRS,SKTXN_CASHINHDRS
TABLE,TKTXN_CASHOUTDTLS,SKTXN_CASHOUTDTLS
TABLE,TKTXN_CASHOUTHDRS,SKTXN_CASHOUTHDRS
TABLE,TKTXN_RCVDTLS,SKTXN_RCVDTLS
TABLE,TKTXN_RCVHDRS,SKTXN_RCVHDRS
TABLE,TKTXN_RCVPAYMENTS,SKTXN_RCVPAYMENTS
TABLE,TKTXN_SALDOAWALAKUNS,SKTXN_SALDOAWALAKUNS
TABLE,TKTXN_SALDOAWALHUTANGS,SKTXN_SALDOAWALHUTANGS
TABLE,TKTXN_SALDOAWALPIUTANGS,SKTXN_SALDOAWALPIUTANGS
TABLE,TKTXN_SALDOAWALSTOCKS,SKTXN_SALDOAWALSTOCKS
TABLE,TKTXN_SLSDTLS,SKTXN_SLSDTLS
TABLE,TKTXN_SLSHDRS,SKTXN_SLSHDRS
TABLE,TKTXN_SLSKIRIMS,SKTXN_SLSKIRIMS
TABLE,TKTXN_SLSPAYMENTS,SKTXN_SLSPAYMENTS
TABLE,TKTXN_SOWHS,SKTXN_SOWHS
TABLE,TKTXN_TUCASHINS,SKTXN_TUCASHINS
TABLE,TKTXN_TUCASHOUTS,SKTXN_TUCASHOUTS
VIEW,DIVIEW_APPLICATIONS,SKVIEW_APPLICATIONS
VIEW,RSVIEW_CHECKUPS,SKVIEW_CHECKUPS
VIEW,RSVIEW_DASHBOARD10RJS,SKVIEW_DASHBOARD10RJS
VIEW,RSVIEW_DASHBOARDKUNJ_C_LAB,SKVIEW_DASHBOARDKUNJ_C_LAB
VIEW,RSVIEW_DASHBOARDKUNJ_C_LABX,SKVIEW_DASHBOARDKUNJ_C_LABX
VIEW,RSVIEW_DASHBOARDKUNJ_D_LAB,SKVIEW_DASHBOARDKUNJ_D_LAB
VIEW,RSVIEW_DASHBOARDKUNJ_D_LABX,SKVIEW_DASHBOARDKUNJ_D_LABX
VIEW,RSVIEW_DASHBOARDSLANJUTAN,SKVIEW_DASHBOARDSLANJUTAN
VIEW,RSVIEW_DASHBOARD_F20_HTCT,SKVIEW_DASHBOARD_F20_HTCT
VIEW,RSVIEW_DASHBOARD_F20_JML,SKVIEW_DASHBOARD_F20_JML
